epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,0.7870132817847463,0.692120029275433,0.744754414216261,0.7585421412300684,7e-05
2,0.7085257520266177,0.7565259819468163,0.7281023844363749,0.7539863325740319,7e-05
3,0.6773055234924413,0.7787265186630885,0.7385959865563552,0.7198177676537585,7e-05
4,0.6566808621573372,0.7953159307148084,0.6639607771382516,0.8041002277904328,7e-05
5,0.6338135012622925,0.8053183703342278,0.6667403694165867,0.8052391799544419,7e-05
6,0.6179209631022723,0.8189802390827031,0.6974733868329563,0.775626423690205,7e-05
7,0.6036949199593686,0.826787021224689,0.6516205778426081,0.7938496583143508,7e-05
8,0.5919172982234262,0.8326421078311783,0.6379777328843136,0.837129840546697,7e-05
9,0.5766729163844343,0.8402049280312271,0.6296278031920518,0.826879271070615,7e-05
10,0.5633606661613699,0.8465479385215906,0.6196272022903373,0.8405466970387244,7e-05
11,0.5531007429104544,0.8643571602829958,0.6246600618123465,0.8348519362186788,7e-05
12,0.5384634532239793,0.8721639424249817,0.6419064447385575,0.8348519362186788,7e-05
13,0.5265267710186674,0.8755794096121006,0.6869420124077851,0.8120728929384966,7e-05
14,0.5180315488313693,0.8804586484508417,0.6755484497357066,0.8052391799544419,3.5e-05
15,0.48164845062599265,0.9080263478897292,0.6526474823033891,0.835990888382688,3.5e-05
16,0.47984691789075207,0.9055867284703586,0.66409647125318,0.8246013667425968,3.5e-05
17,0.4634379373436644,0.911197853134911,0.6926135259907447,0.8109339407744874,3.5e-05
