epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,0.7755269616020688,0.7070017077335936,0.6826348811184355,0.7972665148063781,7e-05
2,0.6991624553833511,0.7701878506952915,0.6699211727785358,0.8086560364464692,7e-05
3,0.6636838396458138,0.7865333008050744,0.7000828701705759,0.7596810933940774,7e-05
4,0.6438320328416287,0.8087338375213466,0.6868598981164311,0.7813211845102506,7e-05
5,0.6249889719919566,0.8097096852890949,0.632815109570097,0.8211845102505695,7e-05
6,0.6160879597834885,0.8260551353988778,0.6554476979924769,0.8018223234624146,7e-05
7,0.6046794260615516,0.8214198585020737,0.6837635596276416,0.7801822323462415,7e-05
8,0.5797164757590841,0.8319102220053671,0.668232918871834,0.8006833712984055,7e-05
9,0.5704597288237807,0.85240302512808,0.6737901200466112,0.7835990888382688,3.5e-05
10,0.5452629332427252,0.8677726274701146,0.6712016350587571,0.7915717539863326,3.5e-05
11,0.5326615457972191,0.8728958282507929,0.645498007739595,0.8075170842824602,3.5e-05
12,0.5174353153829488,0.8799707245669676,0.6575613145404633,0.8132118451025057,3.5e-05
