model,seed,best_epoch,test_accuracy,test_macro_f1,training_time_min
ResNet-50,42,19,0.8521046643913538,0.8456332543442716,47.51
ResNet-50,123,9,0.8248009101251422,0.8137980194967825,36.92
ResNet-50,2024,17,0.838452787258248,0.8278091044844057,45.54
ConvNeXt-Tiny,42,14,0.850967007963595,0.8423263888123643,57.73
ConvNeXt-Tiny,123,8,0.8441410693970421,0.8342835903206779,43.13
ConvNeXt-Tiny,2024,19,0.8486916951080774,0.8412952031678348,57.24
EfficientNet-B2,42,6,0.8521046643913538,0.8443746944754574,27.26
EfficientNet-B2,123,14,0.8612059158134243,0.8565158448100042,41.47
EfficientNet-B2,2024,12,0.8452787258248009,0.839612027662516,39.4
